,Titles,Year,IMDB Ratings,Votes
545,The Artist,2011,7.9,226032
546,PK,2014,8.1,154547
547,Hachi: A Dog's Tale,2009,8.1,243191
548,Amores perros,2000,8.1,217736
549,Jodaeiye Nader az Simin,2011,8.3,212175
550,Rise of the Planet of the Apes,2011,7.6,488562
551,The Fall,2006,7.9,105301
552,The Wrestler,2008,7.9,285135
553,Star Trek II: The Wrath of Khan,1982,7.7,109990
554,Dangerous Liaisons,1988,7.6,62749
555,The Ten Commandments,1956,7.8,61923
556,La haine,1995,8.1,142544
557,Paths of Glory,1957,8.4,170541
558,Blood Simple,1984,7.6,84577
559,The Bridges of Madison County,1995,7.6,70422
560,Doctor Zhivago,1965,8.0,67760
561,The Man from Earth,2007,7.9,169301
562,Enemy at the Gates,2001,7.6,236511
563,On the Waterfront,1954,8.1,137147
564,25th Hour,2002,7.6,167096
565,Låt den rätte komma in,2008,7.9,201668
566,Robin Hood,1973,7.6,111778
567,El cuerpo,2012,7.6,53328
568,Dirty Harry,1971,7.7,139456
569,Bonnie and Clyde,1967,7.8,99481
570,Taare Zameen Par,2007,8.4,159039
571,Kôkaku Kidôtai,1995,8.0,124267
572,Der Name der Rose,1986,7.7,98760
573,Wo hu cang long,2000,7.8,248360
574,Snow White and the Seven Dwarfs,1937,7.6,175799
575,Pâfekuto burû,1997,8.0,52458
576,How to Train Your Dragon 2,2014,7.8,296362
577,Rebecca,1940,8.1,118125
578,The Insider,1999,7.8,156097
579,The Searchers,1956,7.9,77685
580,Serbuan maut 2: Berandal,2014,8.0,111174
581,Philomena,2013,7.6,92281
582,Days of Heaven,1978,7.8,50307
583,La migliore offerta,2013,7.8,104208
584,Kaze tachinu,2013,7.8,68762
585,Roman Holiday,1953,8.0,123674
586,I Am Sam,2001,7.7,140510
587,The Outlaw Josey Wales,1976,7.8,63569
588,The Iron Giant,1999,8.0,166945
589,Madeo,2009,7.8,47661
590,Awakenings,1990,7.8,119493
591,Ordinary People,1980,7.7,45211
592,Flipped,2010,7.7,79047
593,Papillon,1973,8.0,118481
594,Witness for the Prosecution,1957,8.4,102844
595,Midnight Express,1978,7.6,71005
596,50/50,2011,7.6,310554
597,Cabaret,1972,7.8,46767
598,Kari-gurashi no Arietti,2010,7.6,76230
599,Short Term 12,2013,8.0,78697
600,Naked,1993,7.8,32875
601,Persona,1966,8.1,97280
602,Rushmore,1998,7.7,164654
